Type,"IBM Product",VRM,PID,"Licence Type",MTM,GA,"GA #",EOM,"EOM #",EOD,"EOD #",EOS,"EOS #","End All Support","Eligible service","Lifecycle Policy",Exception,Comments,"More Info URL","Last modified"
HW,"Integrated Analytics Systems (3452-KB3)",N/A,N/A,,3452KB3,2018-03-20,73698,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"Integrated Analytics Systems (3452-KB4)",N/A,N/A,,3452KB4,2018-03-20,73698,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"Integrated Analytics Systems (3452-PB3)",N/A,N/A,,3452PB3,2018-03-20,73698,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"Integrated Analytics Systems (3452-PB4)",N/A,N/A,,3452PB4,2018-03-20,73698,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"Integrated Analytics Systems (3452-TB3)",N/A,N/A,,3452TB3,2018-08-31,74052,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"IBM Cloud Private for Data System - Lenovo 16TB Encrypted (3453-C2A)",N/A,N/A,,3453C2A,2019-05-29,74864,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"IBM Cloud Private for Data System - Lenovo 16TB Unencrypted (3453-C2B)",N/A,N/A,,3453C2B,2019-05-29,74864,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"IBM Cloud Private for Data System - Lenovo 32TB Encrypted (3453-C2C)",N/A,N/A,,3453C2C,2019-05-29,74864,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"IBM Cloud Private for Data System - Lenovo 32TB Unencrypted (3453-C2D)",N/A,N/A,,3453C2D,2019-05-29,74864,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"IBM Cloud Private for Data System - Lenovo 64TB Encrypted (3453-C2E)",N/A,N/A,,3453C2E,2019-05-29,74864,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"IBM Cloud Private for Data System - Lenovo 64TB Unencrypted (3453-C2F)",N/A,N/A,,3453C2F,2019-05-29,74864,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"Mellanox 1G EdgeCore Switch (3454-A3C)",N/A,N/A,,3454A3C,2019-05-29,74864,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"Mellanox 25G SN2410 Switch (3454-B8C)",N/A,N/A,,3454B8C,2019-05-29,74864,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"IBM Cloud Pak for Data System - Fabric Switch (3454-C8C)",N/A,N/A,,3454C8C,2019-11-12,75486,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"IBM Cloud Pak for Data System Spine Switch (3454-CAC)",N/A,N/A,,3454CAC,2020-04-27,75881,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"IBM Cloud Pak for Data System PDU 200-240 (3454-FCE)",N/A,N/A,,3454FCE,2019-11-22,75536,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"IBM Cloud Pak for Data System PDU 3-Phase Delta (3454-FCG)",N/A,N/A,,3454FCG,2019-11-22,75536,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"IBM Cloud Pak for Data System Rack (3454-GEF)",N/A,N/A,,3454GEF,2019-11-22,75536,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"IBM Cloud Private for Data System - Dell 8TB Encrypted (3455-D3A)",N/A,N/A,,3455D3A,2019-05-29,74864,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"IBM Cloud Private for Data System - Dell 8TB Unencrypted (3455-D3B)",N/A,N/A,,3455D3B,2019-05-29,74864,,,N/A,N/A,,,,,W,0,,,12-13-2023
HW,"IBM Cloud Private for Data System - Dell 16TB Encrypted (3455-D3C)",N/A,N/A,,3455D3C,2019-05-29,74864,,,N/A,N/A,,,,,W,0,,,12-13-2023
